Time,FAM/FAM T (+),TYE/TYE T (-),CY5/CY5 T (m)
4.5,0.002389985,0.000380269,-0.002770254
4.516666667,0.003009965,-2.10E-05,-0.002988937
4.533333333,0.003633348,-0.000421774,-0.003211574
4.55,0.003367068,-0.000357463,-0.003009604
4.566666667,0.003095723,-0.000291055,-0.002804668
4.583333333,0.002829154,-0.000226596,-0.002602558
4.6,0.00327471,-0.000368036,-0.002906673
4.616666667,0.003718902,-0.00050914,-0.003209762
4.633333333,0.004163983,-0.000650203,-0.00351378
4.65,0.003874716,-0.000917184,-0.002957532
4.666666667,0.003583524,-0.001178161,-0.002405363
4.683333333,0.003293882,-0.001445193,-0.001848688
4.7,0.003325725,-0.001306666,-0.00201906
4.716666667,0.003353523,-0.00116635,-0.002187173
4.733333333,0.003385198,-0.001027851,-0.002357347
4.75,0.003883683,-0.001090624,-0.002793059
4.766666667,0.004384116,-0.001156265,-0.003227851
4.783333333,0.004882554,-0.001218493,-0.003664061
4.8,0.004466265,-0.001067796,-0.003398469
4.816666667,0.004049646,-0.000921964,-0.003127682
4.833333333,0.003633278,-0.00077123,-0.002862049
4.85,0.003745216,-0.00103184,-0.002713376
4.866666667,0.003859248,-0.001294097,-0.002565151
4.883333333,0.003969889,-0.001555635,-0.002414254
4.9,0.003621624,-0.001112864,-0.00250876
4.916666667,0.003269822,-0.000668877,-0.002600946
4.933333333,0.002919931,-0.000225715,-0.002694216
4.95,0.003415338,-0.00042009,-0.002995248
4.966666667,0.003910897,-0.000609609,-0.003301289
4.983333333,0.004406009,-0.000804046,-0.003601963
5,0.004284708,-0.001061039,-0.003223669
5.016666667,0.00416241,-0.001323949,-0.002838461
5.033333333,0.004040412,-0.001581944,-0.002458468
5.05,0.004022131,-0.001543583,-0.002478549
5.066666667,0.004003521,-0.001504979,-0.002498541
5.083333333,0.003985162,-0.00146672,-0.002518442
5.1,0.003942088,-0.001101909,-0.00284018
5.116666667,0.003901658,-0.000734702,-0.003166956
5.133333333,0.003859668,-0.000368785,-0.003490884
5.15,0.004600968,-0.001146752,-0.003454216
5.166666667,0.0053459,-0.001924292,-0.003421607
5.183333333,0.006089009,-0.002704493,-0.003384516
5.2,0.005180175,-0.0021854,-0.002994775
5.216666667,0.004274601,-0.001668006,-0.002606594
5.233333333,0.003363926,-0.001149105,-0.002214821
5.25,0.003966111,-0.001276972,-0.002689139
5.266666667,0.00456976,-0.001403592,-0.003166168
5.283333333,0.005170489,-0.001531497,-0.003638992
5.3,0.005514205,-0.001570474,-0.00394373
